batch_size,hidden_dim,num_epochs,learning_rate,dropout,accuracy
512,400,75,0.001,0.3,0.9811023622047244
512,400,75,0.001,0.4,0.9763779527559056
512,400,75,0.001,0.5,0.9779527559055118
512,400,75,0.0009,0.3,0.9748031496062992
512,400,75,0.0009,0.4,0.9779527559055118
512,400,75,0.0009,0.5,0.9779527559055118
512,400,75,0.0008,0.3,0.9748031496062992
512,400,75,0.0008,0.4,0.9779527559055118
512,400,75,0.0008,0.5,0.9779527559055118
512,400,75,0.0007,0.3,0.9763779527559056
512,400,75,0.0007,0.4,0.9763779527559056
512,400,75,0.0007,0.5,0.9779527559055118
512,400,75,0.0006,0.3,0.9732283464566929
512,400,75,0.0006,0.4,0.9748031496062992
512,400,75,0.0006,0.5,0.9779527559055118
512,400,75,0.0005,0.3,0.9779527559055118
512,400,75,0.0005,0.4,0.9763779527559056
512,400,75,0.0005,0.5,0.9732283464566929
512,500,75,0.001,0.3,0.9748031496062992
512,500,75,0.001,0.4,0.9763779527559056
512,500,75,0.001,0.5,0.9858267716535433
512,500,75,0.0009,0.3,0.9811023622047244
512,500,75,0.0009,0.4,0.9826771653543307
512,500,75,0.0009,0.5,0.9858267716535433
512,500,75,0.0008,0.3,0.9763779527559056
512,500,75,0.0008,0.4,0.9795275590551181
512,500,75,0.0008,0.5,0.9795275590551181
512,500,75,0.0007,0.3,0.9716535433070866
512,500,75,0.0007,0.4,0.9763779527559056
512,500,75,0.0007,0.5,0.9795275590551181
512,500,75,0.0006,0.3,0.9763779527559056
512,500,75,0.0006,0.4,0.9779527559055118
512,500,75,0.0006,0.5,0.9732283464566929
512,500,75,0.0005,0.3,0.9748031496062992
512,500,75,0.0005,0.4,0.9763779527559056
512,500,75,0.0005,0.5,0.9779527559055118
512,600,75,0.001,0.3,0.9716535433070866
512,600,75,0.001,0.4,0.9779527559055118
512,600,75,0.001,0.5,0.9811023622047244
512,600,75,0.0009,0.3,0.9763779527559056
512,600,75,0.0009,0.4,0.9795275590551181
512,600,75,0.0009,0.5,0.9779527559055118
512,600,75,0.0008,0.3,0.9779527559055118
512,600,75,0.0008,0.4,0.9779527559055118
512,600,75,0.0008,0.5,0.9779527559055118
512,600,75,0.0007,0.3,0.9748031496062992
512,600,75,0.0007,0.4,0.9748031496062992
512,600,75,0.0007,0.5,0.9826771653543307
512,600,75,0.0006,0.3,0.9763779527559056
512,600,75,0.0006,0.4,0.9732283464566929
512,600,75,0.0006,0.5,0.9795275590551181
512,600,75,0.0005,0.3,0.9732283464566929
512,600,75,0.0005,0.4,0.9716535433070866
512,600,75,0.0005,0.5,0.9748031496062992
512,700,75,0.001,0.3,0.9779527559055118
512,700,75,0.001,0.4,0.9763779527559056
512,700,75,0.001,0.5,0.9763779527559056
512,700,75,0.0009,0.3,0.9779527559055118
512,700,75,0.0009,0.4,0.9811023622047244
512,700,75,0.0009,0.5,0.9811023622047244
512,700,75,0.0008,0.3,0.9795275590551181
512,700,75,0.0008,0.4,0.9748031496062992
512,700,75,0.0008,0.5,0.9763779527559056
512,700,75,0.0007,0.3,0.9748031496062992
512,700,75,0.0007,0.4,0.9811023622047244
512,700,75,0.0007,0.5,0.9748031496062992
512,700,75,0.0006,0.3,0.9732283464566929
512,700,75,0.0006,0.4,0.9779527559055118
512,700,75,0.0006,0.5,0.9763779527559056
512,700,75,0.0005,0.3,0.9811023622047244
512,700,75,0.0005,0.4,0.9763779527559056
512,700,75,0.0005,0.5,0.9795275590551181
512,800,75,0.001,0.3,0.9811023622047244
512,800,75,0.001,0.4,0.9779527559055118
512,800,75,0.001,0.5,0.9795275590551181
512,800,75,0.0009,0.3,0.9748031496062992
512,800,75,0.0009,0.4,0.9779527559055118
512,800,75,0.0009,0.5,0.9826771653543307
512,800,75,0.0008,0.3,0.9779527559055118
512,800,75,0.0008,0.4,0.9748031496062992
512,800,75,0.0008,0.5,0.9763779527559056
512,800,75,0.0007,0.3,0.9779527559055118
512,800,75,0.0007,0.4,0.9732283464566929
512,800,75,0.0007,0.5,0.9858267716535433
512,800,75,0.0006,0.3,0.9763779527559056
512,800,75,0.0006,0.4,0.9748031496062992
512,800,75,0.0006,0.5,0.9763779527559056
512,800,75,0.0005,0.3,0.9716535433070866
512,800,75,0.0005,0.4,0.9779527559055118
512,800,75,0.0005,0.5,0.9763779527559056
